Date,AAPL_Close,AAPL_High,AAPL_Low,AAPL_Open,AAPL_Volume,GOOG_Close,GOOG_High,GOOG_Low,GOOG_Open,GOOG_Volume,TSLA_Close,TSLA_High,TSLA_Low,TSLA_Open,TSLA_Volume,SPY_Close,SPY_High,SPY_Low,SPY_Open,SPY_Volume
2022-01-03,179.07656860351562,179.9325571617345,174.84588302447216,174.96394419959245,104487900,144.5550994873047,145.02890671706913,142.98873654327514,143.95824499281977,25214000,399.9266662597656,400.3566589355469,378.67999267578125,382.5833435058594,103931400,457.18157958984375,457.315577453157,453.48746761440486,455.8321673669444,72668200
2022-01-04,176.80380249023438,179.99158936284988,176.23314845059463,179.68658798247785,99310400,143.8994598388672,146.08510332379365,143.30125219857842,145.02940253580405,22928000,383.1966552734375,402.6666564941406,374.3500061035156,396.51666259765625,100248300,457.0284423828125,459.35404125916847,455.1430971573813,458.62669105864893,71178700
2022-01-05,172.10086059570312,177.26624778747964,171.82537447983776,176.71527555574892,94537600,137.16067504882812,143.78138707716036,137.03113561072124,143.66480158286416,49642000,362.7066650390625,390.11334228515625,360.336669921875,382.2166748046875,80119800,448.2525634765625,457.4400336939732,448.15685488141145,456.65526410236225,104538900
2022-01-06,169.22792053222656,172.47473828919735,168.8737219585049,169.91663581088895,96904000,137.05853271484375,139.18589868612224,136.27386125678404,137.00522693228726,29050000,354.8999938964844,362.6666564941406,340.1666564941406,359.0,90336600,447.8314208984375,450.58766458808844,445.42927268724765,447.7835812090842,86858900
2022-01-07,169.39515686035156,171.3334078294236,168.2735306915419,170.10355391569084,86709100,136.5139923095703,137.75976027577275,135.30284421325464,137.41126574890635,19408000,342.32000732421875,360.30999755859375,336.6666564941406,360.1233215332031,84164700,446.06097412109375,449.0373450344811,444.6828520914487,447.84106057862004,85111600
2022-01-10,169.41488647460938,169.71988792911856,165.45967096970128,166.35500847432905,106765600,138.077880859375,138.14363884864215,132.6638317499777,134.6153160131959,34096000,352.7066650390625,353.0333251953125,326.6666564941406,333.3333435058594,91815000,445.5058898925781,445.7259875300918,436.97877119016243,442.81664489961315,119362000
2022-01-11,172.25827026367188,172.3566495746992,168.06693328968436,169.5427580708883,76138300,139.51620483398438,139.8270842700988,136.323681170024,137.68577614939423,23502000,354.79998779296875,358.6166687011719,346.2733459472656,351.22332763671875,66063300,449.5636291503906,449.6593377333256,442.1945063567871,445.237875739627,74303100
2022-01-12,172.70103454589844,174.32443598667186,172.00248580970825,173.28152209013933,74805200,141.14085388183594,142.30293809752862,140.60677741851381,141.04769800485315,23642000,368.739990234375,371.61334228515625,357.5299987792969,359.6166687011719,83739000,450.779052734375,452.8653947431278,448.7884485166867,451.3245653827894,67605400
2022-01-13,169.41488647460938,173.7734827671335,169.02132410357385,172.94702430726295,84505800,138.63287353515625,142.67286180728954,138.41665519219606,141.3326760215805,26566000,343.85333251953125,371.8666687011719,342.17999267578125,369.69000244140625,97209900,444.56793212890625,452.55911667341053,443.52477577896656,451.8987654380845,91173100
2022-01-14,170.28070068359375,170.97924946347322,168.33260081738436,168.5785716579076,80440800,139.28602600097656,140.69496496270435,137.00771325507736,137.00771325507736,23826000,349.8699951171875,350.6666564941406,337.7933349609375,339.9599914550781,72924300,444.74981689453125,445.10391239330204,440.1369373773045,441.37151101872155,95890900
2022-01-18,167.06338500976562,169.75921560588677,166.67967112863838,168.7458170220669,90956700,135.80255126953125,136.8996074151379,135.13147006719203,136.11095244557566,27382000,343.5033264160156,356.92999267578125,338.6866760253906,342.2033386230469,66743400,436.87347412109375,440.19436071427987,435.744188680593,439.98381349603727,109709100
2022-01-19,163.55091857910156,168.32275864245793,163.26559902458186,167.26016286506513,94815000,135.1663360595703,137.90401232324126,135.01488742126205,136.44824440629108,20796000,331.8833312988281,351.5566711425781,331.6666564941406,347.2366638183594,75442500,432.3371887207031,439.8594111230948,432.05964255796596,438.443029063945,109357600
2022-01-20,161.85865783691406,166.94533337388285,161.53397450312417,164.2888511126298,91420500,133.0285186767578,137.4182483640507,132.6678152000163,136.02525848731904,21930000,332.0899963378906,347.2200012207031,331.3333435058594,336.57666015625,70488600,427.5520324707031,439.0267827650756,425.39872061158934,434.2512249212793,122379700
2022-01-21,159.79248046875,163.64930096456078,159.684252711932,161.77008037475142,122848900,129.62623596191406,134.27802445524964,129.53557356128078,132.53577986551807,41920000,314.6333312988281,334.8500061035156,313.5,332.11334228515625,103416000,419.1589050292969,428.80572914993644,419.13019537322384,426.4131604566452,202271200
2022-01-24,159.0152130126953,159.68426145863555,152.20674242658725,157.44100875159458,162294600,129.90524291992188,130.31029695531998,124.19571581550221,125.576299186106,55148000,310.0,311.1700134277344,283.8233337402344,301.586669921875,151565700,420.93896484375,421.45576786257226,402.6788933090271,413.46458253400397,251783900
2022-01-25,157.204833984375,160.13680129693594,154.48932214584852,156.41772453451014,115798400,126.2817611694336,128.87544641156583,125.92554290676412,127.97567943190316,36008000,306.1333312988281,317.086669921875,301.07000732421875,304.73333740234375,86595900,415.79974365234375,420.82413808243444,408.79429526605276,414.4503313578086,167997300
2022-01-26,157.11631774902344,161.74056599656424,155.2764608855422,160.86491050929132,108275300,128.7772979736328,132.33201520362402,126.698266032751,130.12494903764392,39630000,312.4700012207031,329.2300109863281,302.0,317.4766540527344,104867400,414.7565612792969,424.95847740903787,410.43077850996156,421.78113926306736,186391100
2022-01-27,156.65390014648438,161.19943618602957,155.72904744290105,159.83183900024744,121954600,128.65870666503906,132.1351677071399,128.48334191135402,130.89067699978534,30248000,276.3666687011719,311.7966613769531,276.3333435058594,311.1199951171875,147109500,412.70849609375,422.6137357521164,410.9954380369023,419.42684728774833,149878300
2022-01-28,167.58482360839844,167.6045054755724,160.17618447475024,163.03928812749427,179935700,132.81228637695312,132.89299004637857,128.23373671541663,129.5345588414588,30518000,282.1166687011719,285.8333435058594,264.0033264160156,277.1866760253906,134789100,422.9583435058594,423.00618320158424,409.43553935631576,414.0866792974471,164457400
2022-01-31,171.96310424804688,172.17955975276536,166.77803558788963,167.41756867469104,115541600,135.21267700195312,135.357162133527,131.8004378028725,133.71754552940962,34056000,312.239990234375,312.663330078125,287.3500061035156,290.9033203125,104436000,430.57623291015625,430.9303284013812,420.9102496134448,422.2787918872668,152251400
2022-02-01,171.79583740234375,172.0221263232155,169.53290315502977,171.20550150726515,86213900,137.38485717773438,137.7052088088739,134.0864669138802,137.34152532444782,51204000,310.4166564941406,314.5666809082031,301.6666564941406,311.7366638183594,73138200,433.485595703125,434.13636736046203,427.7338513754468,431.3131246969605,123155400
2022-02-02,173.00604248046875,173.045406221179,170.5365007077257,171.9336132455733,84914300,147.50648498535156,151.55544351956087,145.03635663938198,151.31977906859,89750000,301.88665771484375,310.5,296.4700012207031,309.3933410644531,66792900,437.6965637207031,438.4334644332628,433.5813276578518,435.9260568800673,117361000
2022-02-03,170.11341857910156,173.3996002497915,169.34599079704418,171.6679560130524,89418100,142.13978576660156,148.58384098347807,141.69588510688274,144.7748187620759,56930000,297.0466613769531,312.3333435058594,293.50665283203125,294.0,78855600,427.4084777832031,433.5047381488881,426.5567093082935,431.5715531563376,118024400
2022-02-04,169.8277130126953,171.5123033629512,168.14312266243942,169.12825935026342,82465400,142.50396728515625,144.01776928929087,139.316917270586,142.50495555543466,49224000,307.7733459472656,312.1666564941406,293.72332763671875,299.0733337402344,73625400,429.41827392578125,433.32293348414623,424.7575252180446,427.16925333912457,118454400
2022-02-07,169.10858154296875,171.3645381321525,168.40912782220335,170.29074266054957,77251200,138.44058227539062,143.3315020922446,138.20243951655232,143.19449740604833,44610000,302.4466552734375,315.92333984375,300.9033203125,307.92999267578125,60994500,428.04010009765625,431.6097937397118,426.6906879090199,430.19341182727953,84472900
2022-02-08,172.23147583007812,172.74375119669648,168.88200154925988,169.17754560815493,74829200,138.71458435058594,139.33644966801236,136.3829657131782,138.4936375083855,34256000,307.3333435058594,308.7633361816406,298.26666259765625,301.84332275390625,50729100,431.5619201660156,432.4998174932737,426.08772249715975,427.5328431571022,81012000
2022-02-09,173.659912109375,174.02440791137533,172.30041852916588,173.43333485667165,71285000,140.9465789794922,141.66649596510112,139.8744272144619,140.3454825058692,28628000,310.6666564941406,315.42333984375,306.6666564941406,311.6666564941406,52259400,437.87835693359375,438.2037427687526,435.45707860200986,435.6580461930455,92589900
2022-02-10,169.561767578125,172.87182834222676,169.00024733142757,171.55174843259016,90865900,138.10626220703125,140.92464192662194,137.55575002383483,139.00055562570753,33018000,301.51666259765625,314.60333251953125,298.8999938964844,302.7900085449219,66126900,430.0115661621094,438.0410110062665,427.982672710365,431.94475103088934,140103700
2022-02-11,166.1334686279297,170.507478406019,165.54238053770345,169.7686258092335,98670700,133.64979553222656,138.7845900176904,132.81130131928032,138.25325024253885,38808000,286.6666564941406,305.32000732421875,283.5666809082031,303.2099914550781,79645800,421.5323181152344,432.2031687380772,420.0776468513901,430.09772579352585,153214600
2022-02-14,166.36990356445312,167.059496301351,164.08437902845532,164.88233741200816,86185500,134.8155975341797,135.67899611383496,132.82474974474476,132.88801425052858,26792000,291.9200134277344,299.6266784667969,284.3833312988281,287.19000244140625,67756500,420.1542053222656,422.6233526440916,416.6323511083873,421.01555344290733,123006300
2022-02-15,170.22178649902344,170.37941199974063,167.7195455611175,168.4288452823497,62527400,135.93707275390625,137.40628106413632,135.05424325091025,136.97931786594233,26578000,307.4766540527344,307.6666564941406,297.7933349609375,300.0,57286200,426.9300231933594,427.1022811538941,424.1354897179703,424.66187242782405,88482700
2022-02-16,169.98536682128906,170.76361832030156,167.52252469125588,169.29577403127885,61177400,136.99526977539062,137.45212435969856,134.340958020222,135.9420472393091,25610000,307.7966613769531,308.80999755859375,300.4033203125,304.6833190917969,51294300,427.4084777832031,428.8057297242315,422.94872622819605,424.85320156463507,84863600
